Data from Subt4_12-25-19-333.txt Node,
Date: Fri Oct 29 12:25:19 BST 2021,
User: php21ajb,
Spectrometer: HR+D0521,
Trigger mode: 0,
Integration Time (sec): 1.000000E-1,
Scans to average: 100,
Electric dark correction enabled: true,
Nonlinearity correction enabled: false,
Boxcar width: 0,
XAxis mode: Wavelengths,
Number of Pixels in Spectrum: 2048,
>>>>>Begin Spectral Data<<<<<,
187.928,-0.57
188.405,-0.57
188.882,-0.57
189.359,3.24
189.835,0.2
190.312,-2.07
190.789,1.72
191.265,-2.12
191.742,-1.03
192.219,0.5
192.695,-2.46
193.172,0.62
193.648,1.03
194.125,1.22
194.601,0.04
195.077,-0.11
195.554,0.93
196.03,-1.15
196.506,0.6
196.983,-0.94
197.459,-1.84
197.935,-0.32
198.411,-0.06
198.887,-0.43
199.363,-0.28
199.839,-1.47
200.315,0.35
200.791,0.48
201.267,1.88
201.743,0.96
202.219,0.09
202.695,-1.09
203.171,-0.69
203.647,-1.62
204.122,-0.9
204.598,-0.78
205.074,-0.69
205.549,-0.02
206.025,-2.19
206.501,1.19
206.976,0.43
207.452,-1.52
207.927,-0.72
208.402,-0.49
208.878,0.6
209.353,0.01
209.829,-0.12
210.304,-1.4
210.779,0.4
211.254,-4.15
211.73,-0.2
212.205,-0.36
212.68,-0.09
213.155,1.48
213.63,-0.46
214.105,-1.19
214.58,0.25
215.055,0.4
215.53,-0.49
216.005,-0.43
216.48,0.44
216.954,0.7
217.429,1.08
217.904,-0.62
218.379,-0.76
218.853,-1.88
219.328,0.03
219.803,-2.74
220.277,-0.04
220.752,-0.67
221.226,-0.51
221.701,0.22
222.175,-0.02
222.65,0.37
223.124,1.7
223.598,-1.15
224.073,-1.3
224.547,-0.05
225.021,-0.28
225.495,0.78
225.97,1.47
226.444,-2.52
226.918,-1.55
227.392,-0.7
227.866,0.71
228.34,-0.54
228.814,1.06
229.288,0.9
229.762,-0.38
230.236,-0.01
230.71,0.02
231.183,-0.86
231.657,-1.03
232.131,-1.57
232.605,-0.45
233.078,-0.55
233.552,-1.24
234.026,-1.63
234.499,0.14
234.973,0.8
235.446,0.56
235.92,-1.03
236.393,-0.22
236.867,-0.06
237.34,-0.11
237.813,1
238.287,-1.3
238.76,-0.6
239.233,0.17
239.706,-0.98
240.179,-0.69
240.653,0.98
241.126,-0.07
241.599,1.43
242.072,-0.7
242.545,-2.06
243.018,-0.2
243.491,-1.19
243.964,1.47
244.437,-0.17
244.909,0.73
245.382,0.22
245.855,-0.26
246.328,-1.73
246.8,0.77
247.273,0.49
247.746,0.56
248.218,0.54
248.691,0.6
249.163,1.69
249.636,-1.11
250.108,-0.58
250.581,-0.73
251.053,-1.3
251.526,1.05
251.998,0.25
252.47,0.29
252.943,-0.71
253.415,-1.1
253.887,1.3
254.359,0.15
254.831,-0.11
255.304,0.16
255.776,-0.01
256.248,-2.89
256.72,-0.4
257.192,-0.18
257.664,-0.89
258.136,0.84
258.607,-1.07
259.079,-0.5
259.551,0.21
260.023,-0.44
260.495,1.05
260.966,-1
261.438,3.13
261.91,-0.26
262.381,1.51
262.853,1.3
263.325,-1.22
263.796,1.63
264.268,0.09
264.739,0.38
265.21,0.47
265.682,0.19
266.153,-0.89
266.624,0.43
267.096,-1.83
267.567,0.61
268.038,1.16
268.509,-0.59
268.981,0.04
269.452,-0.78
269.923,0.4
270.394,1.03
270.865,-0.48
271.336,1.98
271.807,-1.77
272.278,0.91
272.749,-1.37
273.22,0.22
273.69,-0.54
274.161,3.97
274.632,-1.79
275.103,-0.11
275.574,-0.19
276.044,1.02
276.515,2.33
276.985,0.71
277.456,-0.42
277.927,-0.22
278.397,-1.51
278.868,-1.18
279.338,-0.01
279.808,0.75
280.279,1.27
280.749,-0.04
281.219,-2.55
281.69,-0.31
282.16,0.67
282.63,-1.85
283.1,0.16
283.571,1.17
284.041,1.25
284.511,-1.18
284.981,-0.26
285.451,-0.11
285.921,-1.27
286.391,-0.28
286.861,-1.58
287.331,0.28
287.8,-0.6
288.27,-0.76
288.74,1.7
289.21,-1.57
289.68,-1.87
290.149,-0.63
290.619,-0.22
291.089,-0.34
291.558,2.21
292.028,0.43
292.497,0.67
292.967,-1.35
293.436,-0.99
293.906,2.22
294.375,0.29
294.845,-0.16
295.314,0.74
295.783,-0.74
296.253,0.48
296.722,-1.4
297.191,0.1
297.66,1.46
298.129,-0.14
298.598,0.02
299.068,-0.04
299.537,-0.12
300.006,0.45
300.475,0.07
300.944,-1.23
301.413,-0.79
301.881,1.49
302.35,-1.11
302.819,0.05
303.288,1.31
303.757,1.39
304.225,0.66
304.694,-0.28
305.163,0.52
305.632,0.66
306.1,-0.21
306.569,1.63
307.037,-0.02
307.506,1.28
307.974,1.01
308.443,2.32
308.911,0.01
309.38,0.36
309.848,0.94
310.316,-1.79
310.785,0.11
311.253,-0.53
311.721,-0.47
312.189,0.61
312.657,-0.49
313.126,0.53
313.594,0.28
314.062,-1.17
314.53,-0.8
314.998,2.16
315.466,-1.34
315.934,0.56
316.402,0.92
316.869,0.2
317.337,-0.25
317.805,-1.85
318.273,0.26
318.741,-0.34
319.208,1.4
319.676,-0.09
320.144,-1.51
320.611,-0.88
321.079,1.02
321.547,-1.83
322.014,0.73
322.482,-1.24
322.949,0.87
323.416,0.99
323.884,0.78
324.351,-0.83
324.819,0.25
325.286,1.02
325.753,0.84
326.22,-1.9
326.688,0.14
327.155,0.2
327.622,-0.22
328.089,0.88
328.556,-0.94
329.023,0.67
329.49,-0.32
329.957,-0.25
330.424,0.89
330.891,0.71
331.358,0.67
331.825,0.19
332.292,-0.15
332.759,-1.47
333.225,0.08
333.692,1.06
334.159,1.61
334.626,2.08
335.092,-0.16
335.559,-0.99
336.026,1.52
336.492,-1.89
336.959,2.26
337.425,-0.24
337.892,-0.44
338.358,0.65
338.824,-0.32
339.291,0.4
339.757,0.54
340.223,0.82
340.69,0.83
341.156,0.1
341.622,0.49
342.088,1.09
342.555,1.44
343.021,0.81
343.487,-0.2
343.953,1.24
344.419,-1.62
344.885,1.75
345.351,-0.96
345.817,0.31
346.283,-1.78
346.749,-0.92
347.214,1.16
347.68,-0.17
348.146,-0.25
348.612,0.24
349.077,0.76
349.543,0.75
350.009,-0.2
350.474,0.77
350.94,-0.39
351.406,0.88
351.871,2.16
352.337,-1.12
352.802,-1.36
353.268,-1.01
353.733,0.29
354.198,2.77
354.664,0.41
355.129,0.58
355.594,0.58
356.06,0.13
356.525,3.25
356.99,1.55
357.455,1.1
357.92,1.4
358.385,-0.15
358.851,0.15
359.316,-0.11
359.781,0.65
360.246,2.55
360.711,-0.23
361.175,-0.86
361.64,0.06
362.105,-1.04
362.57,0.84
363.035,1.98
363.5,2.04
363.964,0.93
364.429,-0.56
364.894,1.09
365.358,2.09
365.823,0.4
366.288,1.79
366.752,0.33
367.217,-0.49
367.681,-1.18
368.146,-1.55
368.61,1.78
369.074,0.02
369.539,-0.43
370.003,0.12
370.467,1.01
370.932,-1.09
371.396,0.76
371.86,-0.73
372.324,-0.22
372.789,0.04
373.253,-0.61
373.717,0.56
374.181,-0.17
374.645,-1.51
375.109,0.06
375.573,-0.5
376.037,1.02
376.501,-0.22
376.965,0.1
377.428,-1.86
377.892,-1.75
378.356,1.35
378.82,1.52
379.284,-1.06
379.747,3.82
